zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
60457,4110,Commonwealth Edison Co,IL,Bundled,Investor Owned,0.100818909123,0.0672800481257,0.126237537519
70549,55936,Entergy Gulf States - LA LLC,LA,Bundled,Investor Owned,0.0800759103287,0.0542378053501,0.0889908471614
42024,10171,Kentucky Utilities Co,KY,Bundled,Investor Owned,0.0787530976458,0.0565570657187,0.0802458659616
88558,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.104321263682,0.0683961852449,0.118689771676
95471,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
94021,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
17249,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
93729,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
93040,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
86343,803,Arizona Public Service Co,AZ,Bundled,Investor Owned,0.101075474555,0.0783276980718,0.116110556401
24066,19876,Virginia Electric & Power Co,VA,Bundled,Investor Owned,0.0773713939011,0.0624813590215,0.106423207796
10467,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
34102,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
41183,22053,Kentucky Power Co,KY,Bundled,Investor Owned,0.0985702795542,0.0602678674454,0.0965700136762
08817,15477,Public Service Elec & Gas Co,NJ,Bundled,Investor Owned,0.136582522167,0.0668426458873,0.165733958354
24370,733,Appalachian Power Co,VA,Bundled,Investor Owned,0.0745212648162,0.0565963233683,0.0935699366575
63019,19436,Union Electric Co - (MO),MO,Bundled,Investor Owned,0.0739452457931,0.0503920669116,0.0917193891547
01813,54913,NSTAR Electric Company,MA,Delivery,Investor Owned,0.0814340424492,0.0579050466207,0.0884787193034
44281,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
14883,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
89195,13407,Nevada Power Co,NV,Delivery,Investor Owned,0.0103022559788,0,0
43603,18997,The Toledo Edison Co,OH,Delivery,Investor Owned,0.0432032874559,0.00403001696123,0.0509007525677
91001,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
44429,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
48727,5109,Detroit Edison Co,MI,Delivery,Investor Owned,0.022641072496,0.0119458530419,0.0589595375723
32829,6455,Progress Energy Florida Inc,FL,Bundled,Investor Owned,0.0987181638016,0.087741840383,0.128041631086
20420,15270,Potomac Electric Power Co,DC,Bundled,Investor Owned,0.143585317084,0,0.134360948962
15963,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
73116,14063,Oklahoma Gas & Electric Co,OK,Bundled,Investor Owned,0.073935974865,0.0542634653107,0.0966985246037
66617,22500,Westar Energy Inc,KS,Bundled,Investor Owned,0.0805202383085,0.0683712961537,0.0992722208831
92838,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
07601,15477,Public Service Elec & Gas Co,NJ,Bundled,Investor Owned,0.136582522167,0.0668426458873,0.165733958354
03301,24590,Unitil Energy Systems,NH,Delivery,Investor Owned,0.0554402175502,0.0384093990059,0.064281190627
13775,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
35457,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
14818,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
41181,22053,Kentucky Power Co,KY,Bundled,Investor Owned,0.0985702795542,0.0602678674454,0.0965700136762
95448,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
61254,12341,MidAmerican Energy Co,IL,Delivery,Investor Owned,0.0113171958504,0,0
94946,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
11360,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
97533,14354,PacifiCorp,OR,Delivery,Investor Owned,0.0375944302892,0,0
12451,3249,Central Hudson Gas & Elec Corp,NY,Delivery,Investor Owned,0.0337876918229,0.0140622317575,0.0849244792143
95445,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
52158,9417,Interstate Power and Light Co,IA,Bundled,Investor Owned,0.0922343168969,0.0589686412318,0.130070934252
01966,11804,Massachusetts Electric Co,MA,Delivery,Investor Owned,0.044144134938,0.0372516938506,0.0574635315201
44685,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
02652,54913,NSTAR Electric Company,MA,Delivery,Investor Owned,0.0814340424492,0.0579050466207,0.0884787193034
06260,4176,Connecticut Light & Power Co,CT,Bundled,Investor Owned,0.155305860046,0.124954144688,0.172784864003
19930,5027,Delmarva Power,DE,Bundled,Investor Owned,0.121576502715,0.0630486250228,0.143532521837
17868,14715,PPL Electric Utilities Corp,PA,Delivery,Investor Owned,0.0141075273666,0.00478284675397,0.0403138819398
92883,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
03885,24590,Unitil Energy Systems,NH,Delivery,Investor Owned,0.0554402175502,0.0384093990059,0.064281190627
04041,3266,Central Maine Power Co,ME,Bundled,Investor Owned,0.115879828326,0,0.159420289855
